"Count","DofW","Site","Intervention","ZeroCal","Sugary","Juice100","Ojuice","Sports","Total"
97,2,"NS","follow",237,178,56,,,2237
98,3,"NS","follow",228,177,54,,,2265
99,4,"NS","follow",246,134,50,,,2176
100,5,"NS","follow",200,187,43,,,2122
101,6,"NS","follow",35,82,20,,,636
102,7,"NS","follow",22,59,15,,,481
103,1,"NS","follow",197,130,36,,,1996
104,2,"NS","follow",225,185,33,,,2440
105,3,"NS","follow",236,172,40,,,2218
106,4,"NS","follow",218,175,42,,,2226
107,5,"NS","follow",194,167,34,,,2294.71
108,6,"NS","follow",56,68,12,,,608
109,7,"NS","follow",67,41,21,,,538
110,1,"NS","preint",213,159,34,,,2110
111,2,"NS","preint",205,194,63,,,2192
112,3,"NS","preint",247,175,45,,,2168
113,4,"NS","preint",211,163,59,,,2192
114,5,"NS","preint",203,168,66,,,2048
115,6,"NS","preint",36,88,17,,,599
116,7,"NS","preint",54,42,8,,,475
117,1,"NS","preint",199,149,38,,,1960
118,2,"NS","preint",223,83,52,,,2197
119,3,"NS","preint",187,114,54,,,2258
120,4,"NS","preint",237,132,59,,,2224
121,5,"NS","preint",221,161,62,,,2171
122,6,"NS","preint",92,56,16,,,673
123,7,"NS","preint",73,61,26,,,541
124,1,"NS","both",202,141,67,,,2102
125,2,"NS","both",230,169,64,,,2179
126,3,"NS","both",237,189,59,,,2216
127,4,"NS","both",247,106,60,,,2216
128,5,"NS","both",200,172,69,,,2292
129,6,"NS","both",58,84,21,,,662
130,7,"NS","both",41,71,17,,,559
131,1,"NS","both",211,147,67,,,2171
132,2,"NS","both",207,162,48,,,2318
133,3,"NS","both",248,160,61,,,2256
134,4,"NS","both",254,153,57,,,2211
135,5,"NS","both",213,193,65,,,2128
136,6,"NS","both",87,55,21,,,686
137,7,"NS","both",66,54,21,,,571
138,1,"NS","both",252,132,54,,,2145
139,2,"NS","both",234,145,51,,,2191
140,3,"NS","both",280,150,46,,,2301
141,4,"NS","both",292,128,63,,,2301
142,5,"NS","both",243,170,48,,,2150
143,6,"NS","both",53,106,14,,,719
144,7,"NS","both",49,63,12,,,508
145,1,"NS","wash",244,125,49,,,1900
146,2,"NS","wash",,,,,,
147,3,"NS","wash",237,123,48,,,2121
148,4,"NS","wash",223,132,35,,,2227
149,5,"NS","wash",192,180,49,,,2101
150,6,"NS","wash",137,65,30,,,697
151,7,"NS","wash",64,44,30,,,529
152,1,"NS","cal",268,183,48,,,2051
153,2,"NS","cal",227,185,53,,,2186
154,3,"NS","cal",220,123,52,,,2094
155,4,"NS","cal",263,131,61,,,2194
156,5,"NS","cal",225,170,46,,,2136
157,6,"NS","cal",83,52,18,,,666
158,7,"NS","cal",62,48,34,,,554
159,1,"NS","cal",227,168,47,,,2089
160,2,"NS","cal",200,165,52,,,2069
161,3,"NS","cal",261,139,76,,,2149
162,4,"NS","cal",223,146,78,,,2198
163,5,"NS","cal",233,160,56,,,2136
164,6,"NS","cal",58,54,17,,,616
165,7,"NS","cal",71,40,13,,,505
166,1,"NS","cal",133,161,48,,,1886
167,2,"NS","cal",230,103,47,,,1961
168,3,"NS","cal",178,225,47,,,2022
169,4,"NS","cal",178,187,47,,,2021
170,5,"NS","cal",177,136,61,,,1846
171,6,"NS","cal",40,44,20,,,591
172,7,"NS","cal",30,47,9,,,465
173,1,"NS","wash",234,116,30,,,2005
174,2,"NS","wash",218,139,54,,,2152
175,3,"NS","wash",171,127,25,,,2189
176,4,"NS","wash",185,83,40,,,2318
177,5,"NS","wash",162,126,64,,,2330
178,6,"NS","wash",78,51,19,,,663
179,7,"NS","wash",63,59,21,,,462
180,1,"NS","excer",195,157,39,,,2114
181,2,"NS","excer",240,145,45,,,2249
182,3,"NS","excer",217,171,56,,,2197
183,4,"NS","excer",209,200,55,,,2235
184,5,"NS","excer",219,153,53,,,2793.76
185,6,"NS","excer",72,53,21,,,598
186,7,"NS","excer",62,36,17,,,541
187,1,"NS","excer",201,152,41,,,2079
188,2,"NS","excer",162,215,43,,,2320
189,3,"NS","excer",200,137,45,,,2102
190,4,"NS","excer",256,184,53,,,2334
191,5,"NS","excer",211,166,54,,,2086
192,6,"NS","excer",66,51,14,,,611
193,7,"NS","excer",57,47,17,,,574
194,1,"NS","excer",234,135,35,,,2110
195,2,"NS","excer",203,190,45,,,2194
196,3,"NS","excer",170,156,58,,,2187.86
197,4,"NS","excer",,,,,,
198,5,"NS","excer",228,142,46,,,1957
199,6,"NS","excer",95,206,35,,,200
200,7,"NS","excer",31,61,7,,,444
